 (_ for help)|(  para ayuda)
 dragon hide|piel de dragón
 dragon scales|escamas de dragón
 in a shop |en una tienda
 to you |a Tú
. If the item matches a rule which adds |. Si el artículo coincide con una regla que añade
A manual for which skill? |¿Un manual para qué habilidad?
Are you sure you want to drop |¿Seguro que quieres soltar 
Are you sure you want to pick up this pile of gold now?|¿Seguro que quieres recoger este montón de oro ahora?
BUG WARNING: Item didn't seem to be linked at all.|AVISO DE ERROR: El artículo no parecía estar vinculado.
Buggy Original Equipment: |Buggy Original Equipment:
No item to drop.|No hay objeto que soltar.
Now all you have to do is get back out |Ahora solo tienes que salir de nuevo 
Pick up what? |¿Recoger qué?
Press } and ! to see all the gems you have collected.|Pulsa } y ! para ver todas las gemas que has recolectado.
Press } to see all the runes you have collected.|Pulsa } para ver todas las runas que has recolectado.
Select pick up quantity by entering a number, then select the item|Selecciona cantidad a recoger introduciendo un número, luego selecciona el objeto
Sorry, no books on that skill today.|Lo siento, no hay libros de esa habilidad hoy.
That is permanently installed in your exoskeleton.|Eso está instalado permanentemente en tu exoesqueleto.
That parchment doesn't seem to exist.|Ese pergamino parece no existir.
There are no items here.|No hay objetos aquí.
There are no objects that can be picked up here.|No hay objetos que puedas recoger aquí.
There are several objects here.|Hay varios objetos aquí.
Things that are here:|Cosas que hay aquí:
Too many items on level, removing some.|Demasiados artículos a nivel, eliminando algunos.
Too many items on this level, not dropping the item.|Demasiados artículos en este nivel, no bajando el artículo.
Unfortunately, you learned nothing new or useful.|Desafortunadamente, no aprendiste nada nuevo o útil.
What ego type? |¿Qué tipo de ego?
What parchment spell? |¿Qué conjuro de pergamino?
Why do we have all these ridiculous brand tables?|¿Por qué tenemos todas estas ridículas mesas de marca?
You acquired |Has adquirido 
You bought |Has comprado 
You can't carry that many items.|No puedes cargar tantos objetos.
You can't pick that up.|No puedes recoger eso.
You feel the abyssal rune guiding you out of this place.|Sientes que la runa abismal te guía fuera de este lugar.
You have collected all the runes! Now go and win!|¡Has recolectado todas las runas! ¡Ahora ve y gana!
You pick up the Orb of Zot!|¡Recoges el Orbe de Zot!
You see here |Ves aquí 
You stumbled upon |Te has topado con 
You will have to take that off first.|Tendrás que quitarte eso primero.
You've emptied out Pandemonium! Nothing left here but demons.|¡Has vaciado Pandemonio! No queda nada aquí excepto demonios.
Your pack is full.|Tu mochila está llena.
Zot can harm you no longer.|Zot ya no puede hacerte daño.
[%c] %-10s |[%c]
a pandemonium lord|un señor del pandemonio
a player ghost|un fantasma de jugador
agate ring|anillo de ágata
ally misc|aliado misc
ally scroll|pergamino aliado
amethyst amulet|amuleto de amatista
animal skin|piel de animal
area misc|área misc
beam wand|varita de rayo
beryl amulet|amuleto de berilo
blade talisman|talismán de hoja
blast wand|varita de explosión
blue amulet|amuleto azul
bone amulet|amuleto de hueso
bone ring|anillo de hueso
bone wand|varita de hueso
brass amulet|amuleto de latón
brass ring|anillo de latón
brass wand|varita de latón
bronze amulet|amuleto de bronce
bronze ring|anillo de bronce
bronze wand|varita de bronce
buggy chunk|trozo bug
buggy fruit|fruta bug
buggy jelly|gelatina bug
buggy pizza|pizza bug
buggy ration|ración bug
buggy talisman|talismán bug
cabochon amulet|amuleto de cabujón
cabochon ring|anillo de cabujón
cameo amulet|amuleto de camafeo
centaur barding|bardaje de centauro
chain mail|cota de malla
citrine amulet|amuleto de citrino
control misc|control misc
copper amulet|amuleto de cobre
copper ring|anillo de cobre
copper wand|varita de cobre
coral ring|anillo de coral
crystal plate armour|armadura de placas de cristal
damnation bolt|virote de condenación
demon blade|hoja demoníaca
demon trident|tridente demoníaco
demon whip|látigo demoníaco
diamond amulet|amuleto de diamante
diamond ring|anillo de diamante
dire flail|mayal terrible
double sword|espada doble
dragon-coil talisman|talismán de espiral de dragón
eel talisman|talismán de anguila
emerald amulet|amuleto de esmeralda
emerald ring|anillo de esmeralda
eudemon blade|hoja eudemónica
filigree amulet|amuleto de filigrana
fluorescent amulet|amuleto fluorescente
fluorescent wand|varita fluorescente
fortress talisman|talismán de fortaleza
found the Orb of Zot!|encontraste el Orbe de Zot!
garnet amulet|amuleto de granate
garnet ring|anillo de granate
giant club|gran garrote
giant spiked club|gran garrote con púas
gilded ring|anillo dorado
glass ring|anillo de vidrio
glass wand|varita de vidrio
gold wand|varita de oro
golden amulet|amuleto de oro
golden ring|anillo de oro
granite ring|anillo de granito
granite talisman|talismán de granito
great mace|gran maza
great sword|espada grande
hand axe|hacha de mano
hex wand|varita de maleficio
hive talisman|talismán de colmena
huge item subtype|subtipo enorme
inkwell talisman|talismán de tintero
invalid missile type|tipo de misiles inválidos
iron ring|anillo de hierro
iron wand|varita de hierro
it isn't in the monster's inventory.|no está en el inventario del monstruo.
item color invalid|color inválido
item has uninitialized rnd|artículo tiene rnd no inicializado
item held by an invalid monster|artículo mantenido por un monstruo inválido
ivory ring|anillo de marfil
ivory wand|varita de marfil
jade amulet|amuleto de jade
jade ring|anillo de jade
jasper amulet|amuleto de jaspe
kite shield|escudo cometa
lapis lazuli amulet|amuleto de lapislázuli
lead wand|varita de plomo
leather armour|armadura de cuero
long sword|espada larga
lupine talisman|talismán de lobo
malachite amulet|amuleto de malaquita
marble ring|anillo de mármol
maw talisman|talismán de fauces
medusa talisman|talismán de medusa
moonstone ring|anillo de piedra lunar
of the dungeon!|de la mazmorra!
old blowgun|vieja cerbatana
old cutlass|viejo alfanje
old double sword|vieja espada doble
old falchion|viejo falcado
old fustibalus|viejo fustíbalo
old great sword|vieja espada grande
old hammer|viejo martillo
old long sword|vieja espada larga
old scimitar|vieja cimitarra
old scythe|vieja guadaña
old spiked flail|viejo mayal con púas
old triple sword|vieja espada triple
onyx ring|anillo de ónice
opal ring|anillo de ópalo
pearl amulet|amuleto de perla
pearl ring|anillo de perla
peridot amulet|amuleto de peridoto
peridot ring|anillo de peridoto
plate armour|armadura de placas
platinum amulet|amuleto de platino
protean talisman|talismán proteico
quick blade|hoja rápida
quill talisman|talismán de pluma
removed troll hide|piel de trol eliminada
riddle talisman|talismán de acertijo
rimehorn talisman|talismán de cuerno de hielo
ring mail|cota de anillas
ruby amulet|amuleto de rubí
ruby ring|anillo de rubí
rune of zot|runa de zot
sacred scourge|azote sagrado
sanguine talisman|talismán sanguíneo
sapphire amulet|amuleto de zafiro
sapphire ring|anillo de zafiro
scale mail|armadura de escamas
scarab talisman|talismán de escarabajo
serpent talisman|talismán de serpiente
short sword|espada corta
silver amulet|amuleto de plata
silver ring|anillo de plata
silver wand|varita de plata
sling bullet|balín de honda
soapstone amulet|amuleto de esteatita
spider talisman|talismán de araña
spore talisman|talismán de espora
steel amulet|amuleto de acero
steel ring|anillo de acero
storm talisman|talismán de tormenta
talisman of death|talismán de muerte
tourmaline ring|anillo de turmalina
tower shield|escudo torre
triple sword|espada triple
troll leather armour|armadura de cuero de trol
undefined item|ítem no definido
unided item of a type that can't be|elemento no identificado de un tipo que no puede
weird detected item|elemento detectado raro
weird item subtype and no info|elemento raro subtipo y no info
wellspring talisman|talismán de manantial
wooden ring|anillo de madera
wooden wand|varita de madera
zirconium amulet|amuleto de circonio
